Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
8,6,2,3,9,yes,no,no,hadoop,database security,no,yes,medium,poor,parallel computing,security,higherstudies,Sales and Marketing,no,yes,Cookbooks,Work,yes,stubborn,Management,salary,hard worker,yes,yes,Computer Science
8,3,6,9,7,no,yes,no,machine learning,hacking,yes,yes,medium,excellent,parallel computing,testing,higherstudies,Testing and Maintainance Services,yes,no,Anthology,Work,yes,stubborn,Management,work,smart worker,yes,no,Design
8,2,2,8,6,yes,no,yes,distro making,game development,yes,no,medium,poor,cloud computing,system developer,higherstudies,Service Based,yes,no,Trilogy,salary,yes,stubborn,Technical,work,smart worker,yes,no,Computer Science
12,5,3,6,5,no,no,yes,python,testing,no,no,poor,poor,parallel computing,developer,higherstudies,Testing and Maintainance Services,no,yes,Autobiographies,salary,yes,stubborn,Management,work,smart worker,yes,yes,Analytics
9,6,2,3,8,yes,no,yes,machine learning,hacking,yes,yes,poor,poor,Computer Scienceing,security,job,Testing and Maintainance Services,yes,no,Math,salary,no,stubborn,Management,work,hard worker,yes,no,Computer Science
4,7,6,5,8,yes,yes,yes,information security,system designing,yes,no,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,no,no,Childrens,salary,no,stubborn,Technical,salary,hard worker,no,no,Computer Science
11,7,5,5,4,no,no,yes,app development,hacking,no,no,medium,medium,IOT,developer,job,Sales and Marketing,yes,yes,Mystery,salary,yes,gentle,Technical,work,hard worker,yes,yes,Computer Science
4,9,6,3,4,no,yes,no,hadoop,web technologies,no,no,medium,excellent,hacking,security,job,product development,no,yes,Math,Work,yes,stubborn,Management,salary,smart worker,yes,no,Analytics
12,8,0,7,1,no,no,no,machine learning,testing,no,no,medium,medium,Computer Architecture,Business process analyst,higherstudies,Web Services,yes,no,Diaries,Work,yes,stubborn,Technical,work,hard worker,yes,no,Analytics
12,6,0,2,8,no,yes,no,hadoop,system designing,yes,yes,excellent,excellent,parallel computing,cloud computing,job,SAaS services,yes,no,Autobiographies,Work,yes,stubborn,Management,work,hard worker,no,no,Analytics
4,5,0,2,5,yes,yes,yes,app development,game development,yes,no,medium,poor,parallel computing,security,higherstudies,Product based,no,no,Journals,Work,yes,stubborn,Technical,work,hard worker,yes,no,Database
5,8,3,2,8,yes,yes,yes,hadoop,system designing,no,yes,excellent,poor,hacking,security,higherstudies,BPA,yes,no,History,Work,no,stubborn,Management,salary,hard worker,yes,yes,Analytics
4,9,6,4,5,no,no,no,r programming,system designing,yes,no,medium,excellent,cloud computing,system developer,job,BPA,no,yes,Art,salary,yes,gentle,Management,work,hard worker,no,yes,Computer Science
9,9,5,7,6,no,yes,yes,shell programming,testing,yes,yes,excellent,poor,data engineering,testing,job,Service Based,no,no,Childrens,Work,yes,gentle,Management,work,smart worker,no,no,Information Technology
4,7,5,5,1,yes,yes,no,full stack,testing,yes,no,medium,poor,parallel computing,cloud computing,higherstudies,product development,no,yes,Childrens,salary,yes,stubborn,Technical,work,smart worker,no,yes,Information Technology
12,5,0,4,7,yes,yes,no,distro making,testing,yes,no,medium,excellent,networks,developer,higherstudies,SAaS services,yes,yes,History,Work,yes,stubborn,Technical,salary,hard worker,no,yes,Analytics
4,8,5,1,8,no,yes,no,python,database security,no,yes,excellent,medium,programming,Business process analyst,higherstudies,SAaS services,no,yes,Self help,Work,no,stubborn,Management,salary,hard worker,yes,no,Analytics
12,9,1,3,5,yes,yes,yes,app development,data science,no,yes,poor,excellent,parallel computing,security,job,Web Services,no,yes,Dictionaries,salary,yes,stubborn,Technical,work,smart worker,no,no,Management
11,1,0,1,8,yes,no,yes,app development,testing,no,yes,excellent,medium,cloud computing,cloud computing,higherstudies,BPA,yes,no,Art,Work,yes,gentle,Management,work,hard worker,no,no,Management
4,3,1,2,6,yes,no,no,app development,testing,yes,yes,excellent,poor,networks,Business process analyst,higherstudies,Cloud Services,no,yes,Journals,salary,yes,gentle,Management,work,smart worker,yes,yes,Computer Science
4,2,3,9,8,no,yes,yes,python,data science,yes,no,poor,medium,data engineering,Business process analyst,higherstudies,BPA,no,yes,Self help,salary,yes,gentle,Technical,salary,hard worker,no,yes,Analytics
11,5,6,3,1,no,yes,no,full stack,game development,no,yes,excellent,poor,cloud computing,testing,job,product development,no,yes,Childrens,Work,yes,stubborn,Technical,work,smart worker,no,no,Analytics
7,7,4,7,5,yes,yes,no,shell programming,testing,no,yes,excellent,excellent,data engineering,testing,job,Finance,yes,no,Horror,Work,no,stubborn,Technical,work,hard worker,no,no,Database
10,9,0,2,5,no,yes,no,full stack,database security,no,yes,excellent,poor,parallel computing,system developer,job,Finance,no,yes,Childrens,salary,yes,gentle,Management,work,hard worker,no,no,Analytics
11,8,4,2,9,yes,no,no,app development,web technologies,no,yes,poor,excellent,data engineering,security,job,Product based,yes,yes,Trilogy,Work,yes,stubborn,Technical,salary,smart worker,yes,no,Design
9,8,6,2,9,no,yes,no,hadoop,hacking,yes,yes,excellent,excellent,Computer Architecture,testing,job,SAaS services,no,yes,Childrens,Work,yes,stubborn,Technical,salary,smart worker,no,yes,Management
11,3,6,9,5,no,no,yes,app development,system designing,no,no,poor,poor,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,no,yes,Encyclopedias,Work,yes,gentle,Technical,salary,hard worker,no,yes,Analytics
9,8,5,7,4,no,yes,no,shell programming,cloud computing,no,no,excellent,poor,hacking,Business process analyst,job,BPA,no,no,Encyclopedias,Work,yes,stubborn,Management,work,smart worker,no,yes,Analytics
8,8,0,4,7,yes,no,no,full stack,system designing,yes,no,medium,medium,data engineering,testing,job,Finance,yes,yes,Action and Adventure,Work,yes,stubborn,Technical,work,smart worker,no,yes,Networking
10,6,2,1,8,yes,yes,yes,app development,hacking,yes,yes,poor,poor,cloud computing,Business process analyst,job,SAaS services,no,yes,Anthology,salary,yes,gentle,Technical,salary,hard worker,yes,no,Database
5,5,1,6,9,yes,yes,yes,python,game development,yes,yes,poor,excellent,Computer Scienceing,testing,higherstudies,BPA,yes,yes,Action and Adventure,Work,no,gentle,Technical,work,hard worker,no,yes,Computer Science
5,9,1,1,9,no,yes,no,app development,web technologies,yes,no,medium,excellent,Computer Scienceing,cloud computing,job,Web Services,no,yes,Dictionaries,Work,no,stubborn,Technical,salary,smart worker,no,no,Computer Science
5,3,2,6,7,no,yes,yes,machine learning,data science,yes,no,medium,medium,IOT,security,higherstudies,Cloud Services,yes,yes,Fantasy,Work,yes,gentle,Technical,salary,hard worker,no,no,Analytics
11,7,4,8,1,yes,yes,yes,full stack,web technologies,no,yes,poor,medium,Computer Scienceing,Business process analyst,job,SAaS services,no,yes,Childrens,salary,no,gentle,Management,work,smart worker,yes,no,Information Technology
8,9,0,5,8,yes,yes,no,machine learning,testing,yes,no,poor,excellent,Management,security,higherstudies,Cloud Services,yes,yes,Drama,Work,no,gentle,Technical,work,hard worker,yes,no,Analytics
5,5,6,8,4,yes,yes,no,shell programming,testing,yes,no,poor,medium,networks,Business process analyst,higherstudies,Testing and Maintainance Services,no,no,Comics,Work,yes,stubborn,Management,salary,hard worker,yes,no,Information Technology
4,7,4,2,9,yes,yes,no,python,testing,no,yes,poor,excellent,data engineering,security,higherstudies,BPA,yes,no,Art,salary,no,stubborn,Technical,work,hard worker,no,no,Networking
7,7,6,5,5,no,yes,yes,shell programming,cloud computing,yes,no,medium,medium,Computer Scienceing,system developer,job,Finance,yes,no,Horror,Work,yes,stubborn,Technical,salary,smart worker,no,yes,Management
9,7,1,3,5,yes,yes,no,python,database security,yes,no,poor,poor,hacking,cloud computing,job,Product based,no,no,Self help,Work,yes,stubborn,Management,work,hard worker,yes,yes,Computer Science
10,5,5,9,5,no,no,no,distro making,database security,yes,no,excellent,poor,Computer Architecture,system developer,job,Service Based,yes,no,Diaries,Work,yes,stubborn,Technical,salary,hard worker,yes,no,Analytics
12,2,1,1,5,yes,yes,no,information security,database security,no,yes,excellent,poor,parallel computing,security,higherstudies,Web Services,yes,yes,Science fiction,Work,no,stubborn,Technical,work,smart worker,no,no,Analytics
11,4,3,2,4,yes,no,yes,machine learning,cloud computing,yes,no,poor,medium,hacking,cloud computing,job,SAaS services,no,no,Comics,Work,no,stubborn,Management,salary,smart worker,no,yes,Information Technology
4,5,0,6,2,yes,yes,no,information security,testing,yes,yes,poor,poor,programming,testing,higherstudies,BPA,no,yes,Series,Work,yes,stubborn,Management,work,smart worker,yes,no,Computer Science
6,8,1,4,6,no,yes,yes,information security,database security,yes,yes,medium,medium,hacking,security,higherstudies,Cloud Services,no,yes,Childrens,Work,yes,stubborn,Technical,work,hard worker,no,yes,Computer Science
10,3,5,2,8,no,yes,yes,hadoop,cloud computing,yes,yes,poor,poor,cloud computing,Business process analyst,job,Service Based,yes,no,Self help,salary,no,stubborn,Technical,salary,hard worker,no,yes,Computer Science
10,6,3,7,8,yes,yes,no,shell programming,system designing,yes,no,poor,poor,parallel computing,system developer,higherstudies,Finance,no,no,Guide,Work,no,stubborn,Technical,salary,smart worker,yes,no,Management
8,3,0,4,3,yes,no,no,machine learning,hacking,yes,yes,poor,poor,networks,cloud computing,higherstudies,Cloud Services,no,yes,Biographies,salary,yes,gentle,Technical,salary,hard worker,yes,no,Information Technology
5,9,6,1,7,no,no,no,full stack,testing,yes,no,poor,medium,Management,testing,job,Web Services,no,yes,Series,salary,yes,gentle,Technical,work,smart worker,no,no,Database
9,5,0,7,9,yes,yes,yes,distro making,hacking,yes,no,excellent,poor,hacking,developer,job,Testing and Maintainance Services,yes,no,Health,Work,no,stubborn,Technical,salary,smart worker,no,yes,Networking
6,3,4,3,8,yes,no,yes,machine learning,system designing,no,no,poor,poor,data engineering,security,job,product development,yes,yes,Diaries,Work,no,stubborn,Technical,salary,hard worker,no,yes,Computer Science
4,7,0,4,4,no,no,no,distro making,testing,yes,yes,poor,excellent,Computer Architecture,developer,job,Web Services,yes,yes,Journals,Work,no,stubborn,Management,work,hard worker,yes,yes,Information Technology
7,2,2,8,7,no,no,yes,full stack,cloud computing,yes,yes,poor,excellent,parallel computing,Business process analyst,job,Finance,no,yes,Diaries,Work,no,stubborn,Management,work,hard worker,no,no,Information Technology
7,6,5,6,5,yes,yes,no,machine learning,game development,yes,no,medium,medium,Management,security,job,BPA,yes,no,Diaries,Work,no,stubborn,Technical,salary,hard worker,yes,no,Management
10,1,3,6,5,yes,no,no,r programming,web technologies,no,yes,poor,poor,Management,developer,higherstudies,Cloud Services,yes,no,Art,Work,yes,stubborn,Management,salary,smart worker,yes,yes,Analytics
10,2,5,1,8,yes,no,no,python,data science,no,no,medium,medium,cloud computing,security,job,Service Based,yes,no,Prayer books,salary,no,stubborn,Management,salary,hard worker,no,yes,Computer Science
9,8,2,1,8,no,no,no,information security,cloud computing,no,yes,excellent,poor,Computer Architecture,cloud computing,job,BPA,yes,no,Guide,Work,yes,stubborn,Management,work,smart worker,no,yes,Management
8,3,5,4,3,no,yes,yes,python,database security,no,no,medium,excellent,data engineering,system developer,higherstudies,Web Services,no,no,Childrens,Work,yes,gentle,Management,work,hard worker,yes,no,Computer Science
12,7,0,4,6,no,yes,yes,hadoop,testing,yes,yes,medium,poor,data engineering,security,job,Cloud Services,yes,yes,Art,salary,no,gentle,Management,salary,smart worker,yes,no,Networking
8,3,2,7,4,yes,no,no,r programming,cloud computing,yes,no,excellent,medium,networks,system developer,job,Service Based,yes,yes,History,Work,yes,gentle,Management,salary,smart worker,yes,yes,Information Technology
4,6,0,9,7,yes,no,yes,hadoop,web technologies,yes,no,poor,poor,IOT,developer,higherstudies,Service Based,no,no,Health,salary,no,gentle,Technical,work,hard worker,yes,no,Management
5,7,0,6,3,no,no,yes,information security,web technologies,yes,yes,poor,excellent,programming,security,job,Cloud Services,no,no,Anthology,salary,no,stubborn,Technical,salary,smart worker,no,no,Computer Science
5,4,5,6,1,yes,no,yes,information security,system designing,no,yes,poor,medium,hacking,testing,higherstudies,product development,yes,yes,Science fiction,Work,no,gentle,Management,salary,hard worker,yes,no,Computer Science
5,5,4,7,8,no,yes,no,python,testing,yes,no,medium,excellent,IOT,Business process analyst,higherstudies,Cloud Services,yes,yes,Travel,salary,no,stubborn,Management,work,smart worker,yes,yes,Analytics
9,1,4,6,9,no,no,no,machine learning,system designing,no,no,excellent,poor,cloud computing,testing,higherstudies,Service Based,yes,no,Guide,Work,yes,stubborn,Management,salary,smart worker,yes,no,Analytics
7,9,6,4,2,yes,yes,no,machine learning,cloud computing,no,no,excellent,poor,Computer Architecture,security,job,Service Based,no,no,Autobiographies,salary,no,stubborn,Technical,work,hard worker,no,yes,Computer Science
6,5,6,3,1,yes,no,no,r programming,web technologies,yes,yes,medium,medium,parallel computing,system developer,job,Web Services,yes,no,Biographies,Work,no,stubborn,Management,work,hard worker,no,no,Analytics
10,2,3,4,8,no,no,no,r programming,system designing,no,no,medium,poor,data engineering,testing,job,Web Services,yes,no,Encyclopedias,salary,no,gentle,Technical,salary,hard worker,no,no,Database
8,6,3,4,5,no,yes,no,distro making,game development,yes,yes,poor,excellent,IOT,testing,job,Service Based,yes,no,Satire,Work,no,gentle,Management,work,hard worker,yes,no,Information Technology
10,5,2,7,3,yes,no,no,app development,testing,yes,yes,excellent,poor,Management,developer,higherstudies,Cloud Services,no,yes,Health,Work,no,gentle,Technical,salary,hard worker,no,no,Database
8,5,6,1,9,yes,yes,yes,app development,testing,yes,yes,medium,medium,IOT,developer,higherstudies,Sales and Marketing,yes,no,Science,Work,yes,stubborn,Technical,salary,hard worker,yes,yes,Networking
5,6,0,3,4,yes,no,no,full stack,cloud computing,no,yes,excellent,excellent,parallel computing,security,higherstudies,Testing and Maintainance Services,yes,no,Self help,Work,yes,stubborn,Management,work,smart worker,no,no,Computer Science
6,7,0,3,1,yes,no,yes,app development,system designing,yes,yes,excellent,excellent,Management,system developer,higherstudies,BPA,yes,yes,Satire,salary,yes,gentle,Technical,work,hard worker,yes,no,Computer Science
12,9,0,6,3,yes,yes,yes,machine learning,system designing,no,yes,medium,medium,data engineering,security,job,Testing and Maintainance Services,no,yes,Prayer books,salary,yes,stubborn,Technical,salary,hard worker,no,yes,Database
11,7,0,8,4,yes,yes,yes,distro making,testing,yes,no,excellent,excellent,Computer Architecture,cloud computing,job,Sales and Marketing,no,yes,Encyclopedias,salary,yes,gentle,Technical,work,smart worker,no,no,Networking
11,6,0,1,1,yes,no,no,shell programming,hacking,no,no,medium,excellent,Management,testing,higherstudies,Finance,no,no,Drama,Work,no,gentle,Management,work,smart worker,yes,yes,Information Technology
7,8,3,9,1,no,no,no,machine learning,database security,yes,yes,poor,poor,Computer Architecture,testing,higherstudies,Web Services,yes,no,Health,Work,no,stubborn,Technical,salary,hard worker,no,no,Database
9,4,5,5,2,yes,yes,yes,hadoop,web technologies,yes,yes,poor,medium,IOT,security,higherstudies,BPA,no,yes,Action and Adventure,salary,yes,gentle,Management,work,smart worker,yes,yes,Computer Science
8,9,0,1,6,no,yes,no,full stack,hacking,no,no,poor,poor,Computer Scienceing,testing,higherstudies,Service Based,yes,yes,Fantasy,Work,yes,gentle,Technical,salary,hard worker,no,no,Computer Science
5,6,5,6,8,yes,yes,no,full stack,game development,no,yes,poor,excellent,Computer Architecture,system developer,job,SAaS services,yes,yes,Anthology,salary,yes,stubborn,Management,salary,smart worker,yes,no,Computer Science
11,3,3,7,8,no,no,yes,distro making,data science,yes,yes,medium,excellent,parallel computing,Business process analyst,higherstudies,BPA,no,no,Biographies,Work,yes,stubborn,Management,salary,hard worker,no,yes,Networking
5,2,3,4,4,yes,no,yes,machine learning,cloud computing,no,no,excellent,excellent,networks,system developer,job,BPA,no,yes,Horror,Work,no,gentle,Technical,salary,smart worker,no,yes,Management
5,7,6,7,8,no,yes,no,shell programming,cloud computing,yes,no,poor,excellent,hacking,developer,job,product development,no,yes,Poetry,salary,no,gentle,Management,work,smart worker,yes,yes,Networking
12,9,1,7,6,no,yes,yes,app development,hacking,yes,yes,excellent,excellent,data engineering,cloud computing,job,Service Based,no,no,Romance,salary,yes,gentle,Management,work,hard worker,yes,yes,Computer Science
7,5,5,6,3,no,yes,yes,shell programming,cloud computing,no,no,excellent,poor,IOT,security,job,Sales and Marketing,yes,yes,Anthology,Work,no,stubborn,Technical,salary,hard worker,no,no,Design
4,1,2,8,2,yes,no,yes,app development,system designing,no,no,medium,poor,Management,cloud computing,job,BPA,no,yes,Self help,Work,no,stubborn,Management,work,hard worker,yes,no,Management
10,1,3,7,2,no,yes,no,hadoop,data science,yes,no,medium,poor,parallel computing,cloud computing,higherstudies,SAaS services,no,yes,Horror,salary,yes,gentle,Management,work,smart worker,yes,no,Management
5,2,0,2,3,yes,no,yes,distro making,game development,yes,yes,excellent,poor,Management,cloud computing,job,Finance,yes,yes,History,salary,yes,gentle,Technical,work,hard worker,yes,yes,Networking
7,2,6,2,5,no,no,yes,machine learning,game development,no,yes,excellent,excellent,cloud computing,Business process analyst,job,Product based,yes,yes,Fantasy,Work,yes,stubborn,Management,salary,smart worker,no,no,Computer Science
6,7,6,4,3,no,no,yes,shell programming,testing,no,no,excellent,medium,Management,system developer,higherstudies,Cloud Services,yes,no,Autobiographies,salary,yes,gentle,Technical,salary,hard worker,no,yes,Computer Science
8,2,1,8,8,no,yes,yes,shell programming,game development,no,no,excellent,excellent,hacking,system developer,job,product development,no,no,Guide,salary,no,gentle,Management,salary,hard worker,yes,no,Information Technology
6,2,3,2,8,no,no,no,distro making,testing,no,no,excellent,medium,networks,security,job,BPA,no,no,Prayer books,Work,yes,stubborn,Management,work,hard worker,yes,yes,Networking
5,8,5,7,6,yes,no,yes,full stack,web technologies,yes,no,medium,excellent,Management,cloud computing,higherstudies,Testing and Maintainance Services,yes,yes,Science fiction,salary,no,stubborn,Management,salary,smart worker,yes,no,Computer Science
10,7,1,3,7,no,yes,yes,python,data science,no,no,medium,poor,Management,developer,job,Service Based,no,no,Horror,salary,no,stubborn,Technical,salary,hard worker,yes,yes,Analytics
6,3,4,1,3,yes,no,yes,information security,hacking,yes,yes,excellent,excellent,parallel computing,developer,job,Testing and Maintainance Services,yes,no,Guide,salary,yes,gentle,Management,salary,smart worker,no,yes,Computer Science
12,2,3,7,1,yes,yes,no,machine learning,hacking,yes,yes,poor,medium,hacking,cloud computing,job,Cloud Services,no,yes,Art,salary,no,stubborn,Technical,work,hard worker,yes,yes,Networking
12,8,4,1,8,no,yes,yes,r programming,cloud computing,no,yes,poor,poor,networks,testing,job,Finance,no,yes,Self help,Work,no,gentle,Management,work,hard worker,no,yes,Networking
7,9,5,8,8,yes,yes,yes,information security,database security,yes,no,poor,poor,programming,Business process analyst,job,SAaS services,no,yes,Drama,Work,yes,stubborn,Technical,salary,hard worker,no,no,Information Technology
7,7,5,1,7,no,no,yes,machine learning,system designing,no,no,poor,poor,parallel computing,system developer,higherstudies,Web Services,no,yes,Series,salary,yes,stubborn,Management,work,hard worker,yes,yes,Database
6,2,2,5,6,no,yes,yes,python,data science,yes,yes,medium,medium,Computer Architecture,testing,job,BPA,yes,no,Childrens,salary,yes,gentle,Management,work,hard worker,yes,yes,Design
4,8,5,8,6,yes,yes,yes,app development,web technologies,no,no,poor,poor,Computer Architecture,testing,job,Sales and Marketing,yes,yes,Mystery,salary,no,gentle,Management,work,smart worker,yes,no,Database
4,8,6,1,9,no,yes,yes,hadoop,data science,no,yes,poor,excellent,parallel computing,cloud computing,higherstudies,Cloud Services,yes,yes,Cookbooks,salary,no,gentle,Management,salary,hard worker,yes,no,Analytics
4,6,3,4,3,no,no,yes,python,cloud computing,yes,no,excellent,poor,programming,testing,job,SAaS services,yes,yes,Prayer books,salary,yes,stubborn,Technical,work,hard worker,yes,no,Computer Science
7,6,5,4,7,no,yes,yes,machine learning,data science,no,no,excellent,excellent,networks,system developer,job,Finance,no,no,Science fiction,salary,no,stubborn,Management,work,smart worker,no,no,Analytics
12,6,2,1,9,no,no,yes,shell programming,game development,yes,yes,poor,medium,Management,testing,job,Web Services,yes,yes,Encyclopedias,salary,yes,stubborn,Technical,work,hard worker,yes,no,Management
6,6,0,3,4,no,yes,yes,python,database security,yes,yes,excellent,medium,hacking,developer,job,product development,no,yes,Poetry,Work,no,gentle,Management,salary,smart worker,no,yes,Computer Science
6,4,1,7,3,yes,yes,yes,python,data science,yes,yes,poor,excellent,Management,testing,higherstudies,Product based,no,yes,Dictionaries,Work,no,gentle,Management,salary,smart worker,yes,no,Management
12,8,5,7,6,no,no,no,shell programming,data science,no,no,medium,excellent,Computer Scienceing,security,higherstudies,Product based,no,no,Horror,salary,no,stubborn,Management,salary,hard worker,no,no,Analytics
10,7,3,1,1,no,no,yes,machine learning,web technologies,no,yes,medium,medium,Computer Scienceing,cloud computing,higherstudies,Cloud Services,no,yes,Self help,salary,yes,gentle,Management,work,smart worker,no,yes,Networking
11,1,5,2,8,no,yes,yes,information security,cloud computing,yes,no,excellent,excellent,programming,cloud computing,higherstudies,Service Based,yes,yes,Dictionaries,Work,no,gentle,Technical,salary,hard worker,no,no,Networking
4,6,0,6,3,yes,no,no,shell programming,database security,no,no,medium,excellent,Computer Scienceing,security,job,Finance,yes,no,Trilogy,Work,no,stubborn,Technical,salary,hard worker,no,no,Information Technology
11,3,3,2,2,no,yes,yes,information security,game development,yes,yes,medium,excellent,Computer Architecture,security,job,Sales and Marketing,yes,yes,Encyclopedias,salary,no,gentle,Management,salary,smart worker,no,yes,Analytics
11,7,6,3,5,no,yes,yes,r programming,data science,no,yes,medium,medium,IOT,security,job,Service Based,yes,yes,Self help,Work,yes,gentle,Technical,salary,smart worker,no,yes,Information Technology
12,7,0,4,3,yes,no,no,hadoop,system designing,no,no,medium,excellent,parallel computing,developer,higherstudies,Service Based,no,no,Diaries,salary,no,gentle,Management,salary,hard worker,no,yes,Computer Science
5,3,1,7,6,no,yes,no,python,cloud computing,yes,yes,poor,poor,Computer Scienceing,developer,job,Sales and Marketing,yes,yes,Horror,Work,yes,stubborn,Technical,work,hard worker,no,yes,Information Technology
5,9,3,1,9,yes,yes,yes,python,hacking,no,no,poor,poor,cloud computing,developer,higherstudies,SAaS services,no,yes,Biographies,salary,no,gentle,Technical,salary,hard worker,no,no,Computer Science
7,7,0,3,9,yes,no,yes,shell programming,system designing,no,no,excellent,excellent,cloud computing,Business process analyst,job,SAaS services,yes,no,Art,Work,no,stubborn,Management,work,hard worker,no,no,Analytics
6,2,2,6,6,no,no,yes,r programming,data science,no,no,poor,medium,hacking,testing,job,BPA,no,yes,Fantasy,salary,no,gentle,Management,salary,hard worker,no,yes,Information Technology
11,7,4,3,5,no,yes,yes,hadoop,web technologies,no,yes,medium,excellent,Computer Architecture,system developer,job,SAaS services,no,no,Poetry,Work,yes,gentle,Technical,salary,hard worker,yes,yes,Information Technology
12,3,5,5,9,no,no,no,hadoop,database security,no,yes,medium,medium,Computer Architecture,cloud computing,job,Finance,no,no,Romance,Work,yes,gentle,Technical,work,smart worker,yes,no,Information Technology
5,9,2,6,6,yes,yes,no,information security,web technologies,no,yes,excellent,medium,parallel computing,system developer,job,Web Services,no,yes,Trilogy,Work,yes,gentle,Technical,work,hard worker,yes,yes,Networking
7,1,6,6,8,no,yes,yes,hadoop,hacking,no,no,poor,excellent,networks,system developer,job,Service Based,yes,yes,Encyclopedias,salary,no,gentle,Management,salary,smart worker,yes,no,Management
7,4,0,3,1,no,no,no,shell programming,testing,yes,yes,excellent,medium,cloud computing,system developer,higherstudies,Cloud Services,no,no,Guide,salary,no,gentle,Management,work,hard worker,no,no,Computer Science
7,7,2,8,6,yes,yes,yes,r programming,web technologies,yes,yes,poor,excellent,networks,cloud computing,higherstudies,SAaS services,no,yes,Self help,salary,yes,gentle,Technical,salary,hard worker,no,no,Analytics
9,6,0,2,1,no,no,no,distro making,game development,yes,no,excellent,poor,Management,Business process analyst,job,Sales and Marketing,yes,no,Mystery,Work,no,stubborn,Technical,work,smart worker,yes,no,Analytics
7,5,2,5,4,yes,no,no,information security,database security,no,no,medium,excellent,hacking,system developer,job,Product based,yes,no,Horror,Work,no,gentle,Technical,work,smart worker,no,yes,Computer Science
7,7,0,8,8,yes,no,yes,machine learning,database security,yes,yes,poor,medium,Computer Scienceing,system developer,job,Finance,yes,no,Self help,salary,yes,gentle,Management,salary,smart worker,no,no,Management
9,3,6,1,2,no,no,yes,information security,data science,no,no,medium,excellent,cloud computing,Business process analyst,job,Product based,no,no,Guide,Work,no,stubborn,Technical,salary,smart worker,no,yes,Design
8,7,6,3,6,no,yes,yes,full stack,hacking,no,yes,excellent,medium,programming,developer,job,Web Services,no,no,Biographies,Work,no,stubborn,Technical,work,smart worker,yes,no,Networking
6,2,3,9,1,yes,no,yes,information security,testing,yes,yes,excellent,poor,data engineering,Business process analyst,job,product development,yes,yes,Travel,salary,yes,stubborn,Technical,work,smart worker,no,no,Computer Science
7,8,5,1,4,no,yes,yes,app development,cloud computing,yes,no,excellent,excellent,Management,security,higherstudies,Finance,no,no,Travel,Work,yes,gentle,Technical,salary,smart worker,no,no,Management
